[2026-01-26 20:01:31] 변환 완료: data/samsung_data/swi\VK398.nii → data/output_images/swi
[2026-01-26 20:01:32] 변환 완료: data/samsung_data/swi\VK399.nii → data/output_images/swi
[2026-01-26 20:01:32] 변환 완료: data/samsung_data/swi\VK405.nii → data/output_images/swi
[2026-01-26 20:01:33] 변환 완료: data/samsung_data/swi\VK406.nii → data/output_images/swi
[2026-01-26 20:01:33] 변환 완료: data/samsung_data/swi\VK409.nii → data/output_images/swi
[2026-01-26 20:01:34] 변환 완료: data/samsung_data/swi\VK412.nii → data/output_images/swi
[2026-01-26 20:01:34] 변환 완료: data/samsung_data/swi\VK414.nii → data/output_images/swi
[2026-01-26 20:01:35] 변환 완료: data/samsung_data/swi\VK415.nii → data/output_images/swi
[2026-01-26 20:01:35] 변환 완료: data/samsung_data/swi\VK416.nii → data/output_images/swi
[2026-01-26 20:01:35] 변환 완료: data/samsung_data/swi\VK417.nii → data/output_images/swi
[2026-01-26 20:01:36] 변환 완료: data/samsung_data/swi\VK422.nii → data/output_images/swi
[2026-01-26 20:01:36] 변환 완료: data/samsung_data/swi\VK424.nii → data/output_images/swi
[2026-01-26 20:01:37] 변환 완료: data/samsung_data/swi\VK429.nii → data/output_images/swi
[2026-01-26 20:01:37] 변환 완료: data/samsung_data/swi\VK430.nii → data/output_images/swi
[2026-01-26 20:01:38] 변환 완료: data/samsung_data/swi\VK436.nii → data/output_images/swi
[2026-01-26 20:01:38] 변환 완료: data/samsung_data/swi\VK440.nii → data/output_images/swi
[2026-01-26 20:01:39] 변환 완료: data/samsung_data/swi\VK441.nii → data/output_images/swi
[2026-01-26 20:01:39] 변환 완료: data/samsung_data/swi\VK443.nii → data/output_images/swi
[2026-01-26 20:01:39] 변환 완료: data/samsung_data/swi\VK445.nii → data/output_images/swi
[2026-01-26 20:01:40] 변환 완료: data/samsung_data/swi\VK449.nii → data/output_images/swi
[2026-01-26 20:01:40] 변환 완료: data/samsung_data/swi\VK450.nii → data/output_images/swi
[2026-01-26 20:01:41] 변환 완료: data/samsung_data/swi\VK452.nii → data/output_images/swi
[2026-01-26 20:01:41] 변환 완료: data/samsung_data/swi\VK453.nii → data/output_images/swi
[2026-01-26 20:01:42] 변환 완료: data/samsung_data/swi\VK457.nii → data/output_images/swi
[2026-01-26 20:01:42] 변환 완료: data/samsung_data/swi\VK459.nii → data/output_images/swi
[2026-01-26 20:01:43] 변환 완료: data/samsung_data/swi\VK461.nii → data/output_images/swi
[2026-01-26 20:01:43] 변환 완료: data/samsung_data/swi\VK465.nii → data/output_images/swi
[2026-01-26 20:01:43] 변환 완료: data/samsung_data/swi\VK470.nii → data/output_images/swi
[2026-01-26 20:01:44] 변환 완료: data/samsung_data/swi\VK473.nii → data/output_images/swi
[2026-01-26 20:01:44] 변환 완료: data/samsung_data/swi\VK475.nii → data/output_images/swi
[2026-01-26 20:01:45] 변환 완료: data/samsung_data/swi\VK476.nii → data/output_images/swi
[2026-01-26 20:01:45] 변환 완료: data/samsung_data/swi\VK478.nii → data/output_images/swi
[2026-01-26 20:01:46] 변환 완료: data/samsung_data/swi\VK479.nii → data/output_images/swi
[2026-01-26 20:01:46] 변환 완료: data/samsung_data/swi\VK480.nii → data/output_images/swi
[2026-01-26 20:01:47] 변환 완료: data/samsung_data/swi\VK498.nii → data/output_images/swi
[2026-01-26 20:01:47] 변환 완료: data/samsung_data/swi\VK502.nii → data/output_images/swi
